timestamp,Infrared to Red Signal Ratio
03/24/21 03:25:20,26
03/24/21 03:26:20,-27
03/24/21 03:27:21,-61
03/24/21 03:28:21,-35
03/24/21 03:29:21,0
03/24/21 03:30:21,-1
03/24/21 03:31:21,11
03/24/21 03:32:21,0
03/24/21 03:33:21,2
03/24/21 03:34:22,6
03/24/21 03:35:22,3
03/24/21 03:36:22,16
03/24/21 03:37:22,-5
03/24/21 03:38:22,0
03/24/21 03:39:22,21
03/24/21 03:40:22,22
03/24/21 03:41:23,-1
03/24/21 03:42:23,3
03/24/21 03:43:23,37
03/24/21 03:44:23,-45
03/24/21 03:45:23,0
03/24/21 03:46:23,-6
03/24/21 03:47:24,0
03/24/21 03:48:24,0
03/24/21 03:49:24,61
03/24/21 03:50:24,0
03/24/21 03:51:24,0
03/24/21 03:52:24,43
03/24/21 03:53:24,39
03/24/21 03:54:25,0
03/24/21 03:55:25,28
03/24/21 03:56:25,-1
03/24/21 03:57:25,2
03/24/21 03:58:25,-4
03/24/21 03:59:25,-47
03/24/21 04:00:25,78
03/24/21 04:01:26,-17
03/24/21 04:02:26,8
03/24/21 04:03:26,3
03/24/21 04:04:26,-23
03/24/21 04:05:26,-46
03/24/21 04:06:26,15
03/24/21 04:07:27,0
03/24/21 04:08:27,0
03/24/21 04:09:27,-5
03/24/21 04:10:27,-9
03/24/21 04:11:27,4
03/24/21 04:12:27,2
03/24/21 04:13:27,2
03/24/21 04:14:28,-5
03/24/21 04:15:28,-3
03/24/21 04:16:28,16
03/24/21 04:17:28,3
03/24/21 04:18:28,0
03/24/21 04:19:28,2
03/24/21 04:20:28,7
03/24/21 04:21:29,1
03/24/21 04:22:29,0
03/24/21 04:23:29,0
03/24/21 04:24:29,36
03/24/21 04:25:29,0
03/24/21 04:26:29,21
03/24/21 04:27:30,39
03/24/21 04:28:30,0
03/24/21 04:29:30,0
03/24/21 04:30:30,2
03/24/21 04:31:30,8
03/24/21 04:32:30,0
03/24/21 04:33:30,0
03/24/21 04:34:31,0
03/24/21 04:35:31,0
03/24/21 04:36:31,38
03/24/21 04:37:31,0
03/24/21 04:38:31,0
03/24/21 04:39:31,0
03/24/21 04:40:31,-2
03/24/21 04:41:32,0
03/24/21 04:42:32,39
03/24/21 04:43:32,36
03/24/21 04:44:32,-1
03/24/21 04:45:32,-1
03/24/21 04:46:32,0
03/24/21 04:47:33,-4
03/24/21 04:48:33,-21
03/24/21 04:49:33,13
03/24/21 04:50:33,4
03/24/21 04:51:33,0
03/24/21 04:52:33,0
03/24/21 04:53:33,0
03/24/21 04:54:34,-4
03/24/21 04:55:34,0
03/24/21 04:56:34,0
03/24/21 04:57:34,0
03/24/21 04:58:34,0
03/24/21 04:59:34,-8
03/24/21 05:00:34,0
03/24/21 05:01:35,-27
03/24/21 05:02:35,-17
03/24/21 05:03:35,-35
03/24/21 05:04:36,3
03/24/21 05:05:36,-7
03/24/21 05:06:36,68
03/24/21 05:07:37,0
